|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      06583|GRB 980129 |  39.232|    4.596|8.9021e-07|     3.4692e-08|2.0458e-06|     1.1150e-07|
|      03084|4B 940716- |   9.600|    0.551|6.2453e-07|     2.2322e-08|1.9075e-06|     5.7651e-08|
|      03351|4B 950111- | 102.912|    1.620|1.4685e-06|     3.2600e-08|2.9891e-06|     9.2829e-08|
|      01656|4B 920619- | 182.784|    2.111|1.1407e-06|     3.6711e-08|2.1538e-06|     9.5329e-08|
|      03771|4B 950830- | 132.256|   10.546|6.8719e-07|     3.6254e-08|1.7545e-06|     9.2442e-08|
|      05724|GRB 961224-|   1.280|    0.590|3.1636e-08|     6.3421e-09|2.3121e-07|     1.9319e-08|
|      00677|4B 910814- |   0.055|    0.008|1.1390e-08|     1.3542e-09|9.8344e-08|     4.9536e-09|
|      04710|4B 960202  |   9.984|    1.026|3.6865e-07|     1.2052e-08|9.7936e-07|     3.5231e-08|
|      06308|GRB 970715 |  18.880|    1.684|3.9401e-08|     1.0917e-08|2.0910e-07|     2.8546e-08|
|      01651|4B 920617- |   8.512|    0.653|3.7489e-07|     1.3044e-08|1.1002e-06|     3.6532e-08|
|      00673|4B 910813  |  27.456|    2.290|3.8222e-07|     2.2887e-08|5.4242e-07|     4.4739e-08|
|      05337|4B 960325- |        |         |          |               |          |               |
|      07841|GRB 991105 |  50.368|    2.176|7.1794e-07|     3.2898e-08|1.8989e-06|     9.3711e-08|
|      03450|4B 950303  |        |         |          |               |          |               |
|      02767|4B 940118  |  33.216|    0.792|0.0000e+00|     2.6704e-08|1.0929e-07|     7.2520e-08|
|      06432|GRB 971013-|  32.256|    4.672|          |               |          |               |
|      06616|GRB 980226 |  34.688|    3.598|7.4337e-08|     1.2403e-08|3.4988e-07|     3.5964e-08|
|      07597|GRB 990604-|  52.096|    4.222|5.0000e-07|     3.7742e-08|1.6839e-06|     1.1618e-07|
|      06236|GRB 970519 |        |         |3.7304e-08|     4.3535e-09|1.3718e-07|     1.2825e-08|
|      07178|GRB 981027 |  52.416|    5.574|9.5830e-07|     4.7378e-08|1.0732e-06|     1.2679e-07|
|      00704|4B 910821  |  45.888|    2.883|5.3795e-07|     2.6590e-08|1.9194e-06|     6.9376e-08|
|      02324|4B 930503- |  92.704|    3.746|1.5880e-06|     4.3195e-08|3.3768e-06|     9.9205e-08|
|      08054|GRB 000326-|  21.248|    3.842|2.2181e-07|     1.5845e-08|6.6494e-07|     4.6586e-08|
|      05470|4B 960523- |  30.400|    0.389|4.6065e-07|     1.7946e-08|2.3438e-06|     5.0389e-08|
